,species,year,count
159,Sycamore: London Plane,2006,10
160,Sycamore: London Plane,2007,3
161,Sycamore: London Plane,2008,10
162,Sycamore: London Plane,2009,4
163,Sycamore: London Plane,2010,9
164,Sycamore: London Plane,2011,10
165,Sycamore: London Plane,2012,11
166,Sycamore: London Plane,2013,3
167,Sycamore: London Plane,2014,15
168,Sycamore: London Plane,2015,16
169,Sycamore: London Plane,2016,12
170,Sycamore: London Plane,2017,4
171,Sycamore: London Plane,2018,4
172,Sycamore: London Plane,2019,2
173,Sycamore: London Plane,2020,10
174,Sycamore: London Plane,2021,10
175,Sycamore: London Plane,2056,2
176,Sycamore: London Plane,2072,4
177,Victorian Box,1974,2
178,Victorian Box,1976,3
179,Victorian Box,1979,1
180,Victorian Box,1981,2
181,Victorian Box,1982,2
182,Victorian Box,1983,3
183,Victorian Box,1984,4
184,Victorian Box,1985,10
185,Victorian Box,1986,12
186,Victorian Box,1987,6
187,Victorian Box,1988,1
188,Victorian Box,1989,2
189,Victorian Box,1990,32
190,Victorian Box,1991,9
191,Victorian Box,1992,25
192,Victorian Box,1993,13
193,Victorian Box,1994,2
194,Victorian Box,1995,11
195,Victorian Box,1996,4
196,Victorian Box,1997,11
197,Victorian Box,1998,9
198,Victorian Box,1999,9
199,Victorian Box,2000,15
200,Victorian Box,2001,8
201,Victorian Box,2002,5
202,Victorian Box,2003,6
203,Victorian Box,2004,9
204,Victorian Box,2005,8
205,Victorian Box,2006,15
206,Victorian Box,2007,7
207,Victorian Box,2008,20
208,Victorian Box,2009,11
209,Victorian Box,2010,4
210,Victorian Box,2011,12
211,Victorian Box,2012,7
212,Victorian Box,2013,11
213,Victorian Box,2014,7
214,Victorian Box,2015,10
215,Victorian Box,2016,14
216,Victorian Box,2017,18
217,Victorian Box,2018,9
218,Victorian Box,2019,5
219,Victorian Box,2020,5
220,Victorian Box,2056,9
221,Victorian Box,2069,1
222,Victorian Box,2070,1
223,Victorian Box,2072,9
224,Victorian Box,2073,2
